road,LRPName,lrp
N1,LRP001a,
N1,LRP004b,
N1,LRP010b,
N1,LRP010c,
N1,LRP011a,
N1,LRP012a,
N1,LRP012b,
N1,LRP013b,
N1,LRP014a,
N1,LRP018b,
N1,LRP020a,
N1,LRP021d,
N1,LRP023d,
N1,LRP026a,
N1,LRP026b,
N1,LRP027a,
N1,LRP028b,
N1,LRP029b,
N1,LRP030a,
N1,LRP032b,
N1,LRP032e,
N1,LRP033a,
N1,LRP033b,
N1,LRP034b,
N1,LRP035a,
N1,LRP036b,
N1,LRP036c,
N1,LRP051a,
N1,LRP064c,
N1,LRP068a,
N1,LRP077a,
N1,LRP083a,
N1,LRP083b,
N1,LRP105a,
N1,LRP107a,
N1,LRP109a,
N1,LRP111a,
N1,LRP112a,
N1,LRP118d,
N1,LRP119a,
N1,LRP120b,
N1,LRP122a,
N1,LRP123a,
N1,LRP127a,
N1,LRP131b,
N1,LRP134a,
N1,LRP136a,
N1,LRP137a,
N1,LRP142a,
N1,LRP143a,
N1,LRP145a,
N1,LRP148a,
N1,LRP149b,
N1,LRP149c,
N1,LRP159a,
N1,LRP166c,
N1,LRP167a,
N1,LRP169a,
N1,LRP171a,
N1,LRP171b,
N1,LRP171c,
N1,LRP172a,
N1,LRP172b,
N1,LRP173a,
N1,LRP173b,
N1,LRP174a,
N1,LRP174b,
N1,LRP174c,
N1,LRP175a,
N1,LRP175b,
N1,LRP176a,
N1,LRP181a,
N1,LRP183b,
N1,LRP184a,
N1,LRP185a,
N1,LRP186a,
N1,LRP187a,
N1,LRP190a,
N1,LRP191a,
N1,LRP191b,
N1,LRP193a,
N1,LRP194a,
N1,LRP195a,
N1,LRP196a,
N1,LRP197a,
N1,LRP197b,
N1,LRP198a,
N1,LRP199a,
N1,LRP199b,
N1,LRP199c,
N1,LRP201a,
N1,LRP201b,
N1,LRP202a,
N1,LRP203a,
N1,LRP203b,
N1,LRP205a,
N1,LRP206a,
N1,LRP207a,
N1,LRP208d,
N1,LRP209a,
N1,LRP210a,
N1,LRP210b,
N1,LRP210d,
N1,LRP211a,
N1,LRP213a,
N1,LRP213b,
N1,LRP214a,
N1,LRP215a,
N1,LRP218a,
N1,LRP218b,
N1,LRP220a,
N1,LRP221a,
N1,LRP224a,
N1,LRP226a,
N1,LRP226b,
N1,LRP230a,
N1,LRP231a,
N1,LRP231b,
N1,LRP232a,
N1,LRP233a,
N1,LRP234a,
N1,LRP244a,
N1,LRP244c,
N1,LRP245a,
N1,LRP245b,
N1,LRP246a,
N1,LRP246b,
