road;scenario;seed;Average driving time;Bridge with biggest delays;Bridge with biggest delays value;Total delay time;Average delay time per truck;Broken bridges
N1;0;1;578;;0;0;0;[]
N1;0;2;6.464.705.882.352.940;N1_899;9.086.567.736.741.130;91041;6.955.003.819.709.700;['N1_899']
N1;0;3;8.355.326.001.571.090;N1_842;1.738.393.535.675.740;340075;26.714.454.045.561.600;['N1_842', 'N1_850']
N1;0;4;578;;0;0;0;[]
N1;0;5;578;;0;0;0;[]
N1;0;6;578;;0;0;0;[]
N1;0;7;578;;0;0;0;[]
N1;0;8;7.081.402.157.164.860;N1_788;1.743.363.232.767.790;173318;13.352.696.456.086.200;['N1_788']
N1;0;9;6.462.673.796.791.440;N1_930;9.044.024.951.033.870;90645;6.924.751.718.869.360;['N1_930']
N1;0;10;578;;0;0;0;[]
