Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,5,805653,1676.9573889392566,1391668,1261.7116953762466,"N1_865, N1_939, N1_520, N1_850, N1_920, N1_212, N1_161, N1_792, N1_112"
N1,5,702011,1296.4378698224853,932704,788.4226542688081,"N1_793, N1_935, N1_850, N1_224, N1_143, N1_812, N1_460"
N1,5,606736,2728.1714922048996,2475950,2757.182628062361,"N1_788, N1_931, N1_943, N1_132, N1_996, N1_1000, N1_930, N1_850, N1_861, N1_796, N1_462, N1_20, N1_947, N1_118, N1_257, N1_993, N1_502, N1_872, N1_899"
N1,5,409086,2152.1964461994075,1901730,1877.324777887463,"N1_35, N1_677, N1_462, N1_905, N1_862, N1_993, N1_250, N1_216, N1_902, N1_843, N1_1049, N1_885, N1_1041, N1_320, N1_912, N1_503"
N1,5,493483,2994.996407185629,2706646,3241.4922155688623,"N1_931, N1_862, N1_780, N1_792, N1_241, N1_677, N1_930, N1_884, N1_801, N1_989, N1_833, N1_1049, N1_842, N1_83, N1_650, N1_257, N1_940, N1_986, N1_95, N1_992, N1_990, N1_797, N1_828"
N1,5,300864,1467.1293706293707,1129172,987.0384615384615,"N1_953, N1_930, N1_1047, N1_884, N1_776, N1_132, N1_853, N1_650, N1_1041, N1_226"
N1,5,962985,2527.5594855305467,2305270,2470.8145766345124,"N1_222, N1_788, N1_677, N1_880, N1_930, N1_986, N1_83, N1_772, N1_496, N1_178, N1_502, N1_693, N1_203, N1_997, N1_132, N1_996, N1_503"
N1,5,385181,1889.521206409048,1643460,1548.9726672950046,"N1_940, N1_917, N1_930, N1_865, N1_233, N1_89, N1_771, N1_104, N1_108, N1_328, N1_996, N1_841, N1_211"
N1,5,786946,2114.307996051333,1897697,1873.3435340572557,"N1_35, N1_880, N1_940, N1_20, N1_446, N1_905, N1_383, N1_496, N1_143, N1_348, N1_197, N1_847, N1_339, N1_990, N1_460"
N1,5,655081,2077.211764705882,1812819,1777.2735294117647,"N1_136, N1_793, N1_850, N1_985, N1_446, N1_232, N1_1081, N1_802, N1_861, N1_872, N1_924, N1_1000, N1_650, N1_1049"
