Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,2,132598,578.0,0,0.0,
N1,2,954608,578.0,0,0.0,
N1,2,967675,645.6989329268292,89883,68.50838414634147,N1_930
N1,2,894741,645.9732824427481,90230,68.87786259541984,N1_930
N1,2,457619,836.4795597484276,341178,268.22169811320754,"N1_842, N1_850"
N1,2,973450,578.0,0,0.0,
N1,2,385840,707.2956120092379,172091,132.47959969207082,N1_788
N1,2,301344,707.5343099460293,170264,131.27525057825753,N1_1049
N1,2,761093,646.5091463414634,90915,69.29496951219512,N1_930
N1,2,148171,578.0,0,0.0,
