Road,Scenario,Seed,Average_driving_time,Accumulate_delay_time,Average_delay_time,Broken_bridges,Bridge_delays
N1,1,915327,578.0,0,0.0,,None: 0
N1,1,488440,706.4539170506912,170962,131.30721966205837,N1_788,N1_788: 172111.5691582986
N1,1,801103,578.0,0,0.0,,None: 0
N1,1,807078,707.6879815100154,170442,131.31124807395994,N1_1049,N1_1049: 171475.77941198682
N1,1,876251,578.0,0,0.0,,None: 0
N1,1,517296,578.0,0,0.0,,None: 0
N1,1,161393,578.0,0,0.0,,None: 0
N1,1,971130,706.8930769230769,169410,130.3153846153846,N1_1049,N1_1049: 170372.04107552057
N1,1,588843,578.0,0,0.0,,None: 0
N1,1,538836,578.0,0,0.0,,None: 0
