Road,Scenario,Seed,Average_driving_time,Accumulate_delay_time,Average_delay_time,Broken_bridges
N1,8,972019,0,4873403,0,"N1_754, N1_253, N1_293, N1_352, N1_583, N1_92, N1_487, N1_436, N1_796, N1_873, N1_446, N1_923, N1_491, N1_565, N1_990, N1_108, N1_833, N1_899, N1_522, N1_839, N1_178, N1_847, N1_760, N1_43, N1_211, N1_650, N1_940, N1_780, N1_930, N1_20, N1_272, N1_402, N1_1015, N1_222, N1_516, N1_1023, N1_515, N1_849, N1_1082, N1_806, N1_278, N1_562, N1_232, N1_925, N1_606, N1_659, N1_235, N1_191, N1_792, N1_949, N1_880, N1_312, N1_655, N1_1007, N1_189, N1_914, N1_48, N1_842, N1_557, N1_546, N1_631, N1_520, N1_823, N1_467, N1_730, N1_947, N1_841, N1_371, N1_901, N1_435, N1_800, N1_241, N1_372, N1_406, N1_711, N1_850, N1_917, N1_600, N1_1005, N1_400, N1_905, N1_865, N1_67, N1_861, N1_513, N1_939, N1_918, N1_424, N1_73, N1_85, N1_18, N1_1026, N1_576, N1_243, N1_772, N1_801, N1_38, N1_425, N1_496, N1_826, N1_314"
N1,8,929719,0,4807896,0,"N1_567, N1_886, N1_598, N1_245, N1_734, N1_56, N1_92, N1_1029, N1_862, N1_882, N1_161, N1_465, N1_682, N1_855, N1_884, N1_1065, N1_775, N1_833, N1_678, N1_89, N1_847, N1_132, N1_650, N1_143, N1_605, N1_930, N1_1047, N1_771, N1_477, N1_716, N1_188, N1_997, N1_515, N1_797, N1_932, N1_817, N1_1082, N1_450, N1_1049, N1_562, N1_320, N1_890, N1_1042, N1_386, N1_138, N1_863, N1_235, N1_792, N1_375, N1_952, N1_799, N1_986, N1_1027, N1_816, N1_885, N1_1054, N1_452, N1_503, N1_834, N1_1051, N1_628, N1_914, N1_62, N1_842, N1_931, N1_981, N1_808, N1_348, N1_911, N1_572, N1_467, N1_586, N1_943, N1_70, N1_475, N1_800, N1_241, N1_850, N1_214, N1_917, N1_869, N1_985, N1_120, N1_1081, N1_865, N1_812, N1_924, N1_388, N1_861, N1_513, N1_421, N1_824, N1_1009, N1_939, N1_32, N1_749, N1_455, N1_18, N1_677, N1_693, N1_870, N1_592, N1_912, N1_639, N1_788, N1_468, N1_29, N1_972, N1_803"
N1,8,667644,0,4800783,0,"N1_115, N1_92, N1_257, N1_862, N1_747, N1_873, N1_923, N1_602, N1_448, N1_392, N1_251, N1_271, N1_899, N1_839, N1_763, N1_510, N1_1000, N1_610, N1_205, N1_903, N1_132, N1_650, N1_768, N1_930, N1_992, N1_197, N1_427, N1_551, N1_104, N1_797, N1_1078, N1_440, N1_278, N1_1049, N1_212, N1_232, N1_564, N1_386, N1_1060, N1_203, N1_218, N1_53, N1_338, N1_419, N1_949, N1_375, N1_799, N1_938, N1_64, N1_931, N1_828, N1_1019, N1_224, N1_996, N1_520, N1_841, N1_70, N1_791, N1_800, N1_850, N1_917, N1_600, N1_1028, N1_1005, N1_309, N1_778, N1_993, N1_941, N1_1041, N1_924, N1_1045, N1_953, N1_421, N1_939, N1_73, N1_85, N1_243, N1_621, N1_772, N1_801, N1_825, N1_677, N1_484, N1_165, N1_298, N1_788, N1_468"
N1,8,863950,0,4782983,0,"N1_115, N1_813, N1_253, N1_853, N1_578, N1_862, N1_873, N1_446, N1_538, N1_701, N1_833, N1_899, N1_522, N1_839, N1_760, N1_315, N1_903, N1_132, N1_650, N1_908, N1_717, N1_323, N1_750, N1_930, N1_1047, N1_771, N1_1033, N1_307, N1_997, N1_582, N1_920, N1_287, N1_817, N1_226, N1_906, N1_1049, N1_320, N1_83, N1_564, N1_863, N1_809, N1_880, N1_728, N1_613, N1_303, N1_312, N1_834, N1_189, N1_628, N1_1074, N1_714, N1_585, N1_931, N1_981, N1_700, N1_494, N1_911, N1_586, N1_947, N1_791, N1_233, N1_962, N1_850, N1_372, N1_214, N1_755, N1_619, N1_608, N1_934, N1_443, N1_147, N1_1045, N1_861, N1_513, N1_112, N1_421, N1_33, N1_1009, N1_127, N1_1004, N1_918, N1_73, N1_95, N1_85, N1_749, N1_656, N1_460, N1_935, N1_772, N1_801, N1_334, N1_731, N1_473, N1_639, N1_788, N1_896, N1_339"
N1,8,530036,0,4836901,0,"N1_782, N1_115, N1_598, N1_245, N1_293, N1_578, N1_845, N1_487, N1_532, N1_789, N1_1038, N1_446, N1_818, N1_602, N1_410, N1_271, N1_328, N1_839, N1_678, N1_915, N1_178, N1_760, N1_43, N1_559, N1_132, N1_270, N1_323, N1_930, N1_783, N1_104, N1_849, N1_535, N1_797, N1_1078, N1_1037, N1_306, N1_216, N1_1049, N1_320, N1_83, N1_185, N1_1042, N1_203, N1_863, N1_880, N1_885, N1_503, N1_1030, N1_189, N1_62, N1_842, N1_837, N1_585, N1_931, N1_542, N1_828, N1_1019, N1_808, N1_348, N1_743, N1_369, N1_795, N1_819, N1_947, N1_841, N1_921, N1_962, N1_800, N1_850, N1_917, N1_214, N1_711, N1_336, N1_645, N1_193, N1_985, N1_778, N1_120, N1_1041, N1_45, N1_865, N1_812, N1_443, N1_936, N1_637, N1_924, N1_421, N1_641, N1_918, N1_95, N1_374, N1_1026, N1_656, N1_843, N1_801, N1_825, N1_870, N1_425, N1_484, N1_592, N1_740, N1_788, N1_339, N1_671, N1_530, N1_972, N1_803"
N1,8,321154,0,4803806,0,"N1_872, N1_115, N1_245, N1_692, N1_293, N1_734, N1_487, N1_257, N1_649, N1_136, N1_789, N1_737, N1_747, N1_862, N1_873, N1_982, N1_818, N1_990, N1_836, N1_271, N1_899, N1_596, N1_1064, N1_178, N1_1000, N1_132, N1_940, N1_780, N1_930, N1_22, N1_1047, N1_20, N1_402, N1_1033, N1_516, N1_104, N1_849, N1_535, N1_346, N1_278, N1_306, N1_574, N1_185, N1_386, N1_138, N1_925, N1_597, N1_792, N1_814, N1_809, N1_816, N1_880, N1_1054, N1_503, N1_721, N1_628, N1_914, N1_714, N1_842, N1_774, N1_821, N1_931, N1_1019, N1_808, N1_350, N1_945, N1_695, N1_520, N1_911, N1_921, N1_962, N1_917, N1_241, N1_850, N1_600, N1_858, N1_284, N1_400, N1_778, N1_993, N1_905, N1_220, N1_936, N1_924, N1_98, N1_861, N1_684, N1_939, N1_918, N1_32, N1_428, N1_368, N1_460, N1_935, N1_801, N1_666, N1_38, N1_868, N1_693, N1_870, N1_165, N1_118, N1_647, N1_803"
N1,8,487409,0,4880254,0,"N1_567, N1_853, N1_352, N1_1070, N1_92, N1_487, N1_873, N1_446, N1_414, N1_195, N1_946, N1_990, N1_498, N1_833, N1_899, N1_1057, N1_555, N1_1000, N1_888, N1_211, N1_132, N1_650, N1_143, N1_908, N1_930, N1_1047, N1_441, N1_222, N1_516, N1_104, N1_199, N1_920, N1_396, N1_859, N1_278, N1_658, N1_216, N1_320, N1_83, N1_232, N1_386, N1_588, N1_248, N1_415, N1_948, N1_1027, N1_880, N1_630, N1_503, N1_1051, N1_6, N1_914, N1_980, N1_48, N1_842, N1_46, N1_931, N1_614, N1_326, N1_805, N1_350, N1_996, N1_268, N1_730, N1_947, N1_841, N1_999, N1_962, N1_800, N1_241, N1_372, N1_917, N1_35, N1_858, N1_619, N1_869, N1_985, N1_766, N1_508, N1_1046, N1_608, N1_865, N1_637, N1_98, N1_902, N1_1009, N1_32, N1_73, N1_95, N1_974, N1_374, N1_1024, N1_959, N1_460, N1_994, N1_246, N1_358, N1_383, N1_207, N1_693, N1_870, N1_484, N1_788"
N1,8,674223,0,4786014,0,"N1_702, N1_56, N1_578, N1_583, N1_201, N1_487, N1_136, N1_866, N1_969, N1_862, N1_882, N1_779, N1_1012, N1_879, N1_884, N1_990, N1_623, N1_108, N1_833, N1_899, N1_839, N1_915, N1_1061, N1_1001, N1_510, N1_43, N1_205, N1_143, N1_717, N1_930, N1_1047, N1_402, N1_345, N1_199, N1_661, N1_1023, N1_932, N1_228, N1_25, N1_817, N1_278, N1_1049, N1_320, N1_1050, N1_479, N1_569, N1_948, N1_799, N1_986, N1_816, N1_503, N1_250, N1_752, N1_897, N1_828, N1_697, N1_695, N1_710, N1_151, N1_467, N1_841, N1_70, N1_962, N1_917, N1_800, N1_850, N1_755, N1_645, N1_1005, N1_985, N1_993, N1_120, N1_905, N1_934, N1_865, N1_812, N1_936, N1_924, N1_675, N1_147, N1_513, N1_112, N1_713, N1_1032, N1_127, N1_1004, N1_73, N1_428, N1_772, N1_80, N1_464, N1_383, N1_541, N1_870, N1_425, N1_639, N1_647, N1_339, N1_972"
N1,8,542331,0,4883465,0,"N1_872, N1_253, N1_845, N1_92, N1_161, N1_1012, N1_491, N1_1080, N1_255, N1_687, N1_195, N1_498, N1_594, N1_775, N1_108, N1_833, N1_271, N1_899, N1_89, N1_763, N1_510, N1_978, N1_211, N1_650, N1_294, N1_270, N1_323, N1_780, N1_930, N1_970, N1_1047, N1_771, N1_958, N1_319, N1_222, N1_783, N1_515, N1_920, N1_849, N1_1082, N1_391, N1_450, N1_346, N1_278, N1_887, N1_1017, N1_1049, N1_212, N1_574, N1_232, N1_1050, N1_1042, N1_965, N1_386, N1_203, N1_248, N1_75, N1_415, N1_218, N1_863, N1_235, N1_949, N1_802, N1_809, N1_885, N1_312, N1_503, N1_558, N1_938, N1_842, N1_837, N1_821, N1_46, N1_828, N1_697, N1_757, N1_996, N1_823, N1_819, N1_467, N1_841, N1_553, N1_962, N1_800, N1_850, N1_917, N1_193, N1_1081, N1_1041, N1_934, N1_865, N1_220, N1_812, N1_202, N1_861, N1_776, N1_953, N1_421, N1_824, N1_746, N1_73, N1_95, N1_428, N1_374, N1_1024, N1_397, N1_984, N1_677, N1_664, N1_38, N1_539, N1_870, N1_425, N1_473, N1_118, N1_788, N1_468"
N1,8,167927,0,4776974,0,"N1_872, N1_692, N1_845, N1_942, N1_136, N1_882, N1_161, N1_742, N1_1012, N1_491, N1_682, N1_195, N1_827, N1_108, N1_328, N1_89, N1_830, N1_380, N1_903, N1_650, N1_404, N1_908, N1_143, N1_780, N1_930, N1_771, N1_272, N1_551, N1_997, N1_582, N1_536, N1_736, N1_440, N1_306, N1_562, N1_212, N1_574, N1_386, N1_138, N1_415, N1_419, N1_659, N1_792, N1_949, N1_885, N1_875, N1_343, N1_938, N1_1074, N1_48, N1_590, N1_842, N1_46, N1_981, N1_1019, N1_350, N1_744, N1_996, N1_586, N1_947, N1_841, N1_943, N1_553, N1_475, N1_962, N1_800, N1_850, N1_406, N1_400, N1_905, N1_865, N1_644, N1_924, N1_953, N1_1069, N1_1032, N1_749, N1_984, N1_705, N1_246, N1_666, N1_180, N1_693, N1_484, N1_473, N1_912, N1_1073, N1_1066, N1_339"
