road,id,model_type,name,lat,lon,length,condition,road_lrp,nearest_road,distance_to_nearest_road
N1,N1_0,sourcesink,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0,,N1LRPS,N2_4,7.424101299522637
N1,N1_1,link,Km post missing,23.7021389,90.4519722,1.0,,N1LRP001,N2_4,6.72159951947855
N1,N1_2,bridge,.,23.69873866,90.4588610799999,0.8,A,N1LRP001a,N2_2,6.177490198753507
N1,N1_3,link,Km post missing,23.6978886,90.4605833,0.19999999999999996,,N1LRP002,N2_2,6.039554843172122
N1,N1_4,link,Km post missing,23.693833,90.4691382,1.0,,N1LRP003,N2_2,5.4030436078617115
N1,N1_5,link,Km post missing,23.6936108,90.4787771,1.0,,N1LRP004,N2_1,4.4946265790291156
N1,N1_6,bridge,.,23.6946638363636,90.4877749181818,0.9249999999999998,A,N1LRP004b,N2_1,3.595901788022821
N1,N1_7,link,Km post missing,23.6947497,90.4884997,0.07500000000000018,,N1LRP005,N2_1,3.524024448518167
N1,N1_8,link,Km post missing,23.6959163,90.4981941,1.0,,N1LRP006,N2_1,2.575536828559514
N1,N1_9,link,Km post missing,23.697333,90.50775,1.0,,N1LRP007,N2_1,1.6753311563681252
N1,N1_10,link,Km post missing,23.7020556,90.5157222,1.0,,N1LRP008,N2_1,0.7229549265970223
N1,N1_11,link,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,0.5030000000000001,,N1LRP009,N2_0,0.2365744294891062
N1,N1_12,bridge,Kanch pur Bridge.,23.7050598925675,90.5232141463513,0.47300000000000075,A,N1LRP008b,N2_0,0.2038742659524721
N1,N1_13,link,Km post missing,23.7025278,90.5273882,0.5269999999999992,,N1LRP010,N2_0,0.7129466289465091
N1,N1_14,link,Km post missing,23.6966386,90.5348052,1.0,,N1LRP011,N105_1,1.385938580982804
N1,N1_15,bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,0.03999999999999915,B,N1LRP010a,N105_1,1.346957180876797
N1,N1_16,bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,0.3370000000000015,A,N1LRP010b,N105_0,1.0207667678959809
N1,N1_17,bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,0.01699999999999946,A,N1LRP010c,N105_0,1.0042896243651733
N1,N1_18,bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,0.39899999999999913,A,N1LRP011a,N105_0,0.61861265601361
N1,N1_19,link,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,0.2010000000000005,,N1LRP012,N105_0,0.43559295046918994
N1,N1_20,bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,0.31099999999999994,B,N1LRP011c,N105_0,0.12926262030297603
N1,N1_21,bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,0.43100000000000094,A,N1LRP012a,N105_0,0.29830858433793367
N1,N1_22,bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,0.013999999999999346,A,N1LRP012b,N105_0,0.3121788404558472
N1,N1_23,link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,0.270999999999999,,N1LRP013,N105_0,0.5806713344933931
N1,N1_24,bridge,Madanpur Bridge.(L),23.685583027027,90.551207981081,0.136000000000001,A,N1LRP013a,N105_0,0.7127186747368012
N1,N1_25,bridge,Madanpur Bridge(R),23.6853619779342,90.5513591765258,0.02800000000000047,A,N1LRP013b,N105_0,0.7413792547372423
N1,N1_26,link,Km post missing,23.678166,90.5556111,0.8359999999999985,,N1LRP014,N105_0,1.6417892254327358
N1,N1_27,bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,0.05000000000000071,A,N1LRP014a,N105_0,1.6870828254235486
N1,N1_28,link,Km post missing,23.670916,90.5597778,0.9499999999999993,,N1LRP015,N105_0,2.549408080521529
N1,N1_29,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,0.9410000000000007,B,N1LRP016a,N105_0,3.4885234436663266
N1,N1_30,link,Km post missing,23.6628333,90.5641111,0.058999999999999275,,N1LRP016,N105_0,3.5472650031426816
N1,N1_31,link,Km post missing,23.6575,90.5719716,1.0000000000000018,,N1LRP017,N105_0,4.479591066856982
N1,N1_32,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,0.6099999999999994,C,N1LRP017b,N105_0,5.042243206354734
N1,N1_33,bridge,Darikandi Bridge (L),23.65397226,90.57741042,0.08800000000000097,A,N1LRP018a,N105_0,5.124461247489564
