road,id,model_type,name,lat,lon,length,condition,road_lrp,nearest_road,distance_to_nearest_road
N1,N1_1,link,Km post missing,23.7021389,90.4519722,1.0,,N1LRP001,N2_4,6.72159951947855
N1,N1_3,link,Km post missing,23.6978886,90.4605833,0.19999999999999996,,N1LRP002,N2_2,6.039554843172122
N1,N1_4,link,Km post missing,23.693833,90.4691382,1.0,,N1LRP003,N2_2,5.4030436078617115
N1,N1_5,link,Km post missing,23.6936108,90.4787771,1.0,,N1LRP004,N2_1,4.4946265790291156
N1,N1_7,link,Km post missing,23.6947497,90.4884997,0.07500000000000018,,N1LRP005,N2_1,3.524024448518167
N1,N1_8,link,Km post missing,23.6959163,90.4981941,1.0,,N1LRP006,N2_1,2.575536828559514
N1,N1_9,link,Km post missing,23.697333,90.50775,1.0,,N1LRP007,N2_1,1.6753311563681252
N1,N1_10,link,Km post missing,23.7020556,90.5157222,1.0,,N1LRP008,N2_1,0.7229549265970223
N1,N1_11,link,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,0.5030000000000001,,N1LRP009,N2_1,0.2372162348291884
N1,N1_13,link,Km post missing,23.7025278,90.5273882,0.5269999999999992,,N1LRP010,N2_1,0.8550205313146932
N1,N1_14,link,Km post missing,23.6966386,90.5348052,1.0,,N1LRP011,N105_2,1.666364719951989
N1,N1_19,link,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,0.2010000000000005,,N1LRP012,N105_2,1.1312630576167573
N1,N1_23,link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,0.270999999999999,,N1LRP013,N105_2,1.3235850592652942
N1,N1_26,link,Km post missing,23.678166,90.5556111,0.8359999999999985,,N1LRP014,N105_2,2.299013992626151
N1,N1_28,link,Km post missing,23.670916,90.5597778,0.9499999999999993,,N1LRP015,N105_2,3.1842684738608247
N1,N1_30,link,Km post missing,23.6628333,90.5641111,0.058999999999999275,,N1LRP016,N105_2,4.174034148992606
N1,N1_31,link,Km post missing,23.6575,90.5719716,1.0000000000000018,,N1LRP017,N105_2,5.023582603671264
N1,N1_34,link,Km post missing,23.6525278,90.5798882,0.3019999999999996,,N1LRP018,N105_2,5.887060484198999
N1,N1_37,link,Km post missing,23.6476108,90.588083,0.43100000000000094,,N1LRP019,N105_2,6.792177226468805
N1,N1_39,link,Km post missing,23.6396941,90.5927219,0.782,,N1LRP020,N105_2,7.787283498795801
N1,N1_42,link,Km post missing,23.6330549,90.5982774,0.12700000000000244,,N1LRP021,N105_2,8.71496213271416
N1,N1_44,link,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,0.4450000000000003,,N1LRP022,N105_2,9.818094971533974
N1,N1_47,link,Km post missing,23.6173604,90.6096944,0.03300000000000125,,N1LRP023,N105_2,10.81218071988223
N1,N1_49,link,Km post missing,23.609,90.6124722,0.5480000000000018,,N1LRP024,N105_2,11.746786105239446
N1,N1_51,link,Km post missing,23.6009444,90.6165556,0.23600000000000065,,N1LRP025,N105_2,12.72715665996166
N1,N1_52,link,Km post missing,23.5959997,90.624666,1.0,,N1LRP026,N105_2,13.634828053480234
N1,N1_55,link,Km post missing,23.5896108,90.6313882,0.1769999999999996,,N1LRP027,N105_2,14.605946022154916
