Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Delay dict
0,592517,459.3517136861739,2592574,302.2352529727209,"{'10546': 211.976320679168, '11465': 148.94852950024898, '10060': 125.08462408593127, '12495': 101.80584158519542, '10996': 88.71111137187795, '10216': 87.383919142142, '12449': 83.16711991699486, '12889': 72.24472837383033, '12977': 71.90694017577309, '11198': 68.710440597853, '10948': 66.63015489348543, '11026': 47.472434149721224, '11595': 44.22534838011644, '10958': 42.68732975815632, '10116': 39.114441204621805, '10794': 29.561652179267767, '10930': 20.71751316142187, '11351': 19.39564325817042, '11853': 19.206420267603143, '11429': 19.137762717319838, '10012': 18.547137470198948, '12955': 18.30788792193347, '12854': 17.17025347364741, '10046': 16.58637901382433, '10230': 16.577879764519167, '11385': 16.405527616247777, '12969': 15.540364092657484, '12951': 15.236420971706668, '10858': 14.7947049489233, '11845': 14.7170720320506, '10904': 14.443688215771509, '10980': 14.043723666345063, '11379': 13.433996093081294, '11495': 13.202127564412182, '10916': 13.136239823592, '10878': 12.669484342970264, '12606': 12.527844636489746, '10016': 12.356198869673584, '11248': 12.144076008922905, '12804': 12.001018492574007, '12814': 10.95769939187686, '11024': 10.384144571266761}"
0,430382,400.8615064213815,2161482,250.08469281499478,"{'12013': 154.12021648744292, '10970': 119.785105462748, '11553': 97.70402605861375, '11050': 83.83276377803685, '10438': 82.45759932828712, '10390': 82.36079352497609, '10318': 80.40156733005338, '10430': 79.77907235114904, '10782': 75.46377442592492, '10472': 67.54291740340358, '11311': 64.37816003674591, '12519': 63.363816143216894, '10174': 54.094848076858675, '11587': 53.94955372080775, '10278': 49.9875816976008, '10166': 38.85540823328767, '10344': 30.50089438795191, '12069': 27.232063448502323, '10550': 24.672006164093517, '12840': 21.928302090110257, '10464': 21.29939289661266, '12387': 19.997889266751557, '12035': 19.669195296964254, '11178': 19.56693191926214, '12574': 19.392330832010117, '10230': 18.393194378463257, '11146': 18.079316652380086, '10846': 17.071446989704857, '10936': 17.05253210202447, '10384': 16.86901017850534, '11495': 16.815063767823485, '10242': 16.379425470423158, '12129': 16.25847841309465, '11879': 16.229543221924242, '10136': 15.960111443566841, '10918': 15.779532676833227, '11108': 15.424604824619816, '10480': 15.036514375579873, '11803': 14.383805062684079, '11773': 13.59462212070925, '10974': 12.92614362079539, '10950': 12.770518874431168, '10898': 12.739405735409736, '12820': 11.867355738150131, '11080': 10.820018659030497, '11156': 10.500218216734345, '10718': 10.420923825757354, '10946': 10.382021849577278, '11493': 10.306701366474023}"
0,544967,388.66636166075716,1936695,221.51378245453506,"{'11581': 106.70516592705589, '12411': 99.20174399254935, '10318': 80.75510885597677, '11174': 74.1409041721252, '10514': 70.81985286351951, '11553': 70.04324411642992, '12479': 68.24246869349525, '10174': 68.22957875880562, '12439': 56.68212337845269, '12519': 47.67374297993368, '11236': 44.28391399440518, '10948': 38.90700604570938, '10146': 38.38676542898669, '10818': 37.11196666596731, '10944': 36.40326014183748, '12135': 32.19517560205867, '12961': 29.589948681649364, '10036': 19.76376696486996, '10258': 18.781654462916833, '10858': 18.66273695436632, '10664': 18.6082594541464, '12820': 18.46289458344868, '10724': 18.138471070441607, '10222': 18.112158440250226, '10208': 18.090631043341872, '11170': 17.973521140135617, '10658': 17.929157417514975, '10896': 17.785783780852437, '12604': 17.354232398911385, '10148': 17.073669447064855, '10374': 17.02790979543368, '10422': 15.996744116082786, '12822': 15.653743086394142, '12620': 15.238850299963168, '10986': 14.766443588965856, '10292': 14.410117444343799, '11875': 12.767760436662574, '10122': 12.733888545285872, '12431': 12.342734307831103, '12107': 11.35607131178954, '10984': 10.884917326520588, '10872': 10.634404198698226, '12568': 10.352591490415739}"
0,487543,542.3407425207257,3479920,418.1088549801754,"{'11435': 166.5353310292337, '11543': 126.3215549591073, '11465': 117.89236468361955, '12993': 107.0088403334411, '12840': 87.18496613477615, '10166': 82.4557414178563, '12810': 74.47515677076592, '10982': 73.92727443785972, '12427': 71.53218256726211, '11066': 70.26004073684484, '12258': 67.4957407634495, '11533': 67.29864056503861, '11194': 66.72118479189243, '11629': 61.688330800004685, '11919': 61.28206243288044, '12941': 54.844558830464905, '12489': 54.796653085422044, '12141': 52.86200307141906, '12183': 48.875825734896765, '11018': 44.02803619506052, '11182': 42.25026458426031, '12501': 36.82054384850551, '11198': 31.2375857530545, '12856': 23.973184816587647, '10466': 22.002056052741523, '11230': 19.751007964095333, '10916': 19.49750187359986, '12379': 19.306855270563283, '10836': 19.104056870937303, '10942': 18.84188430465855, '10142': 18.788785829069063, '11603': 18.766030712630354, '12935': 18.354167838468328, '11150': 18.12144386266753, '10222': 17.512586429016388, '10504': 16.875886045312683, '10136': 16.68077977357923, '12955': 15.858478433071914, '10834': 15.186810353900876, '10858': 15.14740843377433, '12521': 14.556464091544608, '12505': 14.431927240326525, '11569': 13.930554246965375, '10476': 13.769338922704678, '11433': 13.310484945530519, '11463': 13.30190418951291, '10722': 12.527393139847952, '11933': 12.272704069528181, '10984': 12.177213172727896, '11947': 12.03893961555438, '10280': 11.731963067159022, '11991': 11.599393484984956, '11353': 11.503488316255059, '10950': 11.376366974081467, '11042': 10.770950408614066, '11212': 10.71659241314362}"
0,943789,415.2103929024081,2161950,249.1012789491877,"{'11465': 167.61829218657962, '12411': 91.96457398320705, '12015': 91.45745995289158, '11120': 89.57093264801514, '11539': 85.90962526260546, '12417': 84.27140254715754, '10714': 77.01588920714906, '12459': 73.03084060595367, '10100': 65.888510784933, '11018': 59.810466706563, '10870': 58.97700112928948, '10996': 54.13970745568092, '11200': 39.70797547440698, '10116': 39.13257959403949, '10536': 37.16310058831901, '11208': 33.82587553286645, '12939': 22.065267938905208, '12284': 19.990959049251188, '11078': 19.89853113931288, '10882': 19.76116898998446, '10876': 19.670626458777186, '11469': 19.413487801724663, '10190': 19.356965394248263, '10492': 18.666441271687017, '12975': 18.510298361365106, '11607': 18.226351173595795, '10946': 17.919026927573615, '10638': 17.227977455084062, '10840': 16.996615371941132, '11323': 16.69420749360119, '10926': 16.547330458732276, '10836': 16.167704930064925, '12119': 16.151086338601903, '11861': 16.019546650326397, '10872': 15.908106002519556, '11074': 15.54248586602295, '12451': 15.12152098052185, '10384': 14.822119510930914, '12576': 14.82124125850174, '10922': 14.496911683836228, '12431': 14.252887229385422, '10732': 14.235656944821482, '12171': 14.13141373158209, '11327': 13.728112998195051, '11248': 13.266920955805158, '10124': 12.00664991473006}"
0,640528,410.4921350913717,2180026,252.14272495951886,"{'11465': 177.57594188960752, '11437': 111.69241478398877, '11162': 87.63097962969292, '11018': 79.6204949561708, '12031': 77.49360199262009, '11066': 76.15912188934311, '10954': 74.55880306361067, '12977': 69.48177823648103, '12069': 66.101359220404, '11198': 64.67630490424591, '12411': 60.48702068056109, '10132': 50.25224750063522, '10944': 35.909931454295844, '10992': 33.10093762371571, '11835': 32.83840595599875, '12519': 32.14986094542779, '13003': 30.986745383468232, '10318': 22.947695295697713, '12503': 21.248307211184155, '10870': 20.79761477226477, '12435': 19.929629829914916, '11202': 19.49513403852429, '11194': 19.437319885013494, '12598': 18.588228343076803, '10390': 17.7460628592686, '11020': 17.66426315165074, '11607': 17.660243832494103, '12533': 15.829179108282695, '11441': 15.231104099654308, '11282': 15.209817476836303, '11096': 14.950742693343386, '11469': 14.904752373973754, '11132': 14.198533845708415, '12808': 13.748165206654932, '10856': 13.419798900536886, '12425': 13.299291363160371, '11118': 12.680601564411415, '12935': 12.668860480091764, '11074': 12.530793973631862, '12812': 12.458738456781784, '10526': 12.273896415356553, '10104': 11.97805853789333, '10732': 11.820376744121639, '10124': 11.604020728724446, '10906': 11.225090074286518, '10926': 10.689319842807908, '12955': 10.509128579657927}"
0,124934,351.9829127531968,1572112,177.9010976575761,"{'12013': 205.3686222605677, '11533': 87.37298540701656, '12840': 87.0116806065254, '12475': 84.23532509000981, '11557': 81.0084882169795, '12529': 78.53075437204376, '11070': 73.92546800556752, '10996': 73.09144085585982, '10168': 64.41098434324017, '10966': 59.97754398775513, '12883': 30.205950037937942, '10344': 30.15794229061692, '11056': 26.475451189901058, '12941': 21.764154745893798, '10362': 19.813143531635397, '10718': 19.644638620127814, '10882': 18.80987865170553, '10318': 18.667788002812795, '11947': 18.589424337258528, '12812': 18.524561139107895, '12387': 17.916975991092745, '12808': 17.87374946149753, '10986': 17.792840086981897, '12493': 17.782061319419206, '12955': 17.764834442450116, '12519': 17.66909186026595, '12881': 15.215603111165397, '12572': 15.026964416217071, '11190': 14.7118097321564, '11202': 14.014158375943492, '12614': 13.936577201297386, '10926': 13.696800592632155, '12537': 13.55122268341885, '12429': 13.273185291876441, '10998': 13.17904268147047, '10486': 11.753142048318448, '10386': 11.495850696449306, '11653': 11.476681673871399, '12369': 11.12645559833606, '10378': 10.879546734210061, '10904': 10.766094127797398, '11463': 10.621417534028394, '10124': 10.305859289604548}"
0,675239,372.17382879288726,1793609,204.44648352900947,"{'12013': 174.34836194324936, '12015': 118.16315937364995, '10930': 86.7677750863842, '12225': 85.45007148634402, '10972': 83.24930090733055, '10146': 81.180818130134, '11437': 73.99558162690525, '11537': 67.16914862591432, '11018': 57.729039125647994, '10954': 57.71310963919548, '12519': 41.62493327468547, '10944': 32.36255453521852, '10510': 29.619652765135832, '11200': 27.227102339414756, '12258': 25.92949630391015, '10002': 22.10750861403675, '10736': 21.116494323545297, '11164': 19.559501504540986, '11737': 19.33776117346552, '10998': 18.193303117601193, '10514': 17.94837634195959, '12387': 17.710897925285426, '12407': 17.260752199459507, '11066': 17.080344216153176, '12816': 16.97512943889285, '11026': 16.96267767620784, '11799': 16.883548921708154, '11248': 16.771118365442998, '12969': 16.554448526997582, '10878': 16.310016210269527, '10692': 16.28465295609887, '12808': 16.279183193447402, '10836': 15.895447757738445, '11142': 14.717312306049138, '11068': 14.496410225616332, '10952': 14.266268619176795, '12828': 13.682963681984578, '11214': 13.03319454209025, '12113': 12.773554117840984, '11074': 12.571771722791551, '10190': 12.520967177419298, '11154': 12.007291154316425, '12604': 11.517772092689226, '11118': 11.320433424776137, '12391': 10.560624824109823}"
0,499642,383.2444751381216,1949963,224.44325506445674,"{'10540': 98.40688898053544, '12439': 88.01456616610368, '12489': 83.22030864801766, '11050': 80.50106139209811, '10996': 76.93399939010699, '10508': 76.32457869109021, '12187': 69.82084721606711, '11268': 69.29434685346628, '10116': 67.58262489985012, '11270': 65.12378685545163, '12592': 63.02448561710293, '11018': 47.15736703118268, '11533': 46.68391754560892, '12600': 43.68298984610087, '11757': 42.34814423425152, '11174': 41.83114706705974, '11182': 38.92889244568963, '11735': 26.680498826156867, '12519': 24.992555469489822, '11104': 20.143750819506856, '10168': 19.929822326862794, '12359': 19.522548631698662, '11248': 19.399084829751658, '12334': 18.33282927527925, '10938': 18.202011996447403, '11130': 17.911839169334783, '10502': 17.66742145486952, '12923': 17.53055305358064, '11022': 17.52680346473775, '11739': 17.49017131202562, '12441': 17.459131883017843, '12955': 17.243421580233825, '11156': 17.242228199799662, '12513': 17.036892031738695, '12429': 16.803872385073042, '10520': 16.66181804353613, '11573': 15.970013488162339, '10898': 15.394987039607956, '11078': 15.255746495668848, '12562': 14.581821601790422, '10864': 13.235558748740145, '12381': 12.144934135056836, '10914': 11.98103420016618, '12881': 11.887258341463767, '12326': 11.68973950611171, '12113': 11.456077514054275, '10240': 10.990854124531717, '10230': 10.403127732434768, '11363': 10.293034559952702}"
0,526235,414.60833333333335,2263509,261.98020833333334,"{'11553': 112.73656041529914, '10954': 105.8210449777959, '11236': 88.60496580111185, '10552': 86.37837240938063, '12840': 82.82898013501833, '10278': 80.87675852120181, '10132': 79.52504680890046, '11294': 79.28596621082185, '12501': 75.92837396955986, '11018': 75.18170648128344, '11985': 71.0974929918628, '12411': 68.8746926608611, '10870': 66.34400793289177, '10932': 64.35393955999643, '11300': 59.06911950246355, '12181': 57.07618563339985, '11026': 43.90900655140773, '11200': 42.174097518662265, '10040': 38.135350976305105, '11168': 34.914868822106186, '10046': 32.51728852435883, '10434': 31.767115727220038, '10174': 30.587188793923147, '12822': 19.744826199637007, '12935': 19.621309914445373, '11046': 19.28446949413717, '10194': 19.07225660810818, '12598': 18.209460351581022, '11517': 17.995306870190987, '11082': 17.92338910937306, '10120': 17.644991647470516, '10520': 17.18830891221493, '11845': 17.077866194183763, '11150': 16.70991899495334, '12435': 15.392957159822728, '11158': 15.299474599155813, '12322': 14.12885137177188, '11795': 13.858572543837514, '12818': 13.68502184103287, '11467': 13.4090817484418, '11298': 13.335120633782198, '12820': 13.288774105633937, '10892': 12.728434482334647, '11377': 12.635859339099744, '10124': 12.427364233274364, '10858': 12.097057722607207, '11074': 11.562006017139588, '11038': 10.74097897361427, '11116': 10.339349237141949}"
