Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Delay dict
0,592517,438.05309014869886,2477415,287.8037871747212,"{'10546': 195.80557293694864, '10954': 118.98444315693224, '12296': 97.44148928010183, '10040': 83.10048835471824, '11094': 75.980730767537, '10472': 75.72070726982474, '10034': 74.59790818252118, '11018': 74.57713819097847, '12141': 74.34828524105781, '10390': 71.46656411496727, '10414': 70.94690270249262, '12810': 67.20364954595102, '12519': 67.06577582599846, '12941': 66.97503457429842, '11066': 50.6712474559509, '10046': 49.24124151191079, '10948': 37.66159422966879, '12007': 35.86441510715972, '10018': 26.264017292886724, '10996': 25.366723168743903, '12439': 20.341586441392774, '10986': 19.871617127566036, '11170': 19.84534569201722, '10926': 19.824261999562577, '10156': 19.804852285102506, '11557': 19.247943046063767, '11164': 19.154755601308132, '10192': 18.303871094015634, '11519': 17.971716853367646, '11068': 17.921480600207936, '12935': 17.64035732967519, '12381': 16.742441468333446, '10836': 16.625949380830473, '12854': 16.134720825654462, '10090': 15.628022760173955, '10104': 15.560423020462862, '12507': 15.42218163517229, '12193': 15.307459313730488, '11254': 15.03616636546066, '11779': 14.976914006105357, '10628': 14.698391216245758, '11495': 14.580982445563311, '10888': 14.051211482989647, '11080': 13.74856365213029, '10880': 13.611725444620369, '10974': 13.49015531580974, '10190': 12.535888138541267, '11156': 12.442372687934817, '11248': 12.257834134713743, '12574': 11.900179359111192, '12443': 11.730113924382145, '12834': 11.566840101912762, '12812': 11.502607665706726, '11547': 10.816821421343782, '10520': 10.111468510178467}"
0,430382,379.9427363127215,1840246,210.33786718482114,"{'12015': 116.76043732826875, '12411': 94.48018106924754, '11238': 94.30141633997056, '10970': 92.97605150597374, '12941': 79.9094020481535, '11553': 78.41975346471062, '11070': 68.53334663149505, '12005': 66.96418276543875, '10344': 50.913014344352035, '10034': 50.563429494418905, '10036': 50.1816613446893, '10776': 44.75133172890774, '11050': 32.281131052013244, '12503': 21.04485689374, '11487': 19.651820230119306, '12911': 19.520637633538897, '12099': 19.382170260554794, '11038': 19.30948089303954, '10492': 19.0722320708184, '11130': 18.91568611406027, '12981': 18.27859679546227, '10138': 18.271524259166682, '12812': 17.97839027779265, '12431': 17.817815614258876, '10926': 17.363847333686664, '11323': 17.031079428779314, '11919': 16.641883814800604, '10904': 16.450288686558164, '11136': 16.359700575951997, '12969': 15.837857178164963, '11493': 15.53560557497082, '11258': 15.32294807876587, '10840': 13.709556985365193, '11046': 12.980000583018116, '12935': 12.517563261335486, '11823': 12.38753617221085, '10878': 12.302689506842672, '10898': 12.285306505096557, '12367': 11.889042334659543, '11022': 11.556246096195721, '11737': 11.016773193513384, '12009': 10.712410008462301, '11863': 10.355017061015046, '12808': 10.288193019665597}"
0,544967,419.45017896316824,2260659,261.0159334949775,"{'10034': 86.14975151956799, '11182': 81.99592294181244, '10948': 79.16137685947729, '11066': 77.74031122950834, '10116': 75.09741727520188, '10954': 73.21504808105682, '11735': 69.92943576046437, '12977': 68.03851945361586, '11587': 65.00048127219345, '10166': 60.921114726845076, '12449': 39.61826563919563, '12189': 38.07947618182184, '11300': 36.92029441189359, '10132': 36.45249995403769, '12185': 33.509499945388015, '12479': 29.015589455409803, '12840': 28.65968927976234, '11056': 19.923302006189484, '11609': 19.64006620428607, '11118': 19.541169249787192, '12973': 19.38163855240526, '12369': 19.367668424828338, '11607': 19.170898998590054, '10192': 19.093663208136142, '10318': 19.001700957789886, '10740': 18.755825791461525, '11991': 18.67880913335834, '12550': 18.61262491770183, '10898': 18.14082634982954, '10058': 17.963123049879517, '11202': 17.476170592675082, '12439': 17.148444557059474, '10428': 17.024911841624967, '10462': 16.779103722407278, '11475': 16.765766669392494, '11501': 16.654413637221992, '11192': 16.114319797807465, '12093': 16.020598210478887, '10918': 15.494902670031351, '11252': 15.34691025678779, '10336': 15.136504721750358, '10800': 14.79201815388902, '10212': 14.744175638610638, '10998': 14.719620847596318, '12111': 13.64630967474536, '10910': 13.158752846868504, '12241': 13.020849441488771, '10904': 12.936973312221966, '12598': 12.900661350137723, '10156': 12.809623526544124, '10240': 12.340739977750186, '10892': 11.96471849993795, '10520': 11.525096768158253, '11689': 11.244076480284926, '11599': 11.036957608642911, '11054': 10.364141806684426, '10832': 10.133613492139222}"
0,487543,413.45308898109727,2246080,258.8842784693407,"{'12013': 173.58483727505404, '10954': 99.07956978946326, '12411': 94.42065967490466, '12085': 87.5563386198966, '11240': 86.93863246114242, '12953': 82.10733960719446, '12600': 80.7756742509616, '10940': 77.35227205799262, '10992': 77.23717144738544, '10982': 76.35352848486632, '12449': 67.5133359367053, '12439': 65.76668561458888, '11311': 65.59208941766389, '10988': 64.74677697438017, '11246': 56.39887361813427, '10818': 52.42090828020425, '12181': 51.28548031979725, '13003': 51.19374067944902, '10002': 49.28813691871132, '11174': 41.32763437178555, '12840': 40.293016987953806, '11026': 39.6453714757654, '10216': 38.5320245261263, '11300': 37.3509537617063, '10120': 30.22787646481067, '12153': 27.916799069058307, '11735': 26.214026147433707, '10938': 23.267931290471353, '12425': 19.723605816972608, '11895': 19.423359885579412, '10098': 19.379228351391752, '11931': 18.622226446151743, '10656': 18.58256267990736, '10858': 17.990167676744086, '10202': 17.82536913631514, '10130': 17.397881532005268, '11156': 17.330440135505484, '10892': 16.986318176456987, '11212': 16.732089009570448, '11118': 16.544179893689922, '11078': 16.472339502593844, '12552': 15.198784687339687, '12556': 15.147658385007936, '11068': 15.11672095171305, '11607': 15.058362929445668, '11248': 14.794156414177971, '10904': 12.928151232840941, '10348': 12.782902067738016, '12237': 12.608601980310375, '11082': 12.278265478251539, '10360': 11.661631487227291, '12435': 10.96735731792626, '10860': 10.401850236948153, '10458': 10.085499371940136}"
0,943789,426.581625523987,2417827,281.5355146716348,"{'10060': 177.39939215041755, '10508': 112.03609930968972, '12015': 107.28977411309809, '10512': 97.0257601393636, '10472': 86.06869962886212, '10954': 81.16859556913519, '11300': 80.56408801955699, '10744': 80.1881683087862, '11443': 76.17897394678876, '10932': 75.51159285199628, '10684': 74.26550140667302, '12183': 73.38020683255826, '10940': 72.83074408571255, '11557': 71.01064791215954, '11064': 64.02601237015037, '12475': 61.705259477488084, '11056': 54.60463738677892, '12413': 51.058756919436426, '11559': 44.12630331202942, '12197': 38.645808105603834, '10318': 33.079845693296605, '10146': 27.983555349575965, '10344': 27.760347176059394, '10986': 19.475938891045374, '10138': 18.82368292590098, '11202': 18.820129689898515, '12580': 18.716490236549664, '12556': 18.115527309341253, '12856': 18.01172611334908, '11022': 17.504082053644716, '10148': 17.469072395114924, '10982': 17.14930000102149, '12840': 17.06475116939476, '11355': 16.729718347188886, '12574': 15.974015605065333, '10502': 15.861270580634237, '11150': 15.075577754924474, '10520': 14.945588606805938, '10882': 14.935077223361874, '11547': 13.060404209860332, '11687': 12.521462912772026, '11248': 12.364268191163841, '11046': 12.174328020512736, '11625': 11.561380128827066, '12063': 11.546254762854732, '11353': 11.39154577647972, '12899': 10.849356685102794, '10194': 10.696947561562965, '12808': 10.207094069603691, '10224': 10.140147753215311, '12604': 10.043234677444268}"
0,640528,394.59546925566343,2147121,248.16470180305132,"{'10690': 211.52389584549746, '11437': 118.09115344142148, '10714': 109.88771522856186, '12411': 97.26348539093911, '11985': 95.97548957442544, '10996': 83.23342163685908, '12463': 77.69355456753607, '12449': 77.63818794376263, '11775': 76.9379467996516, '10540': 72.60146978069174, '10992': 71.13967190241235, '10938': 70.32382947828712, '11236': 67.81061248970694, '12141': 61.62316960870639, '11200': 54.135560076389616, '12883': 54.06075453865491, '12941': 49.09275255549516, '12015': 45.02140498896251, '12519': 44.782237098730704, '10972': 41.29996352846375, '11056': 29.574500849996646, '11300': 24.021790021512654, '10450': 19.841030896042763, '12033': 19.83664224429179, '11178': 19.385250683868726, '11447': 19.249301145714327, '11865': 19.170473052030857, '10864': 19.121893513111086, '11032': 18.828714663726416, '11074': 18.43928836944942, '10138': 18.041263487263787, '11323': 17.91000353514316, '11176': 17.750694560661184, '12233': 16.953144793899625, '10998': 16.44417369770201, '10172': 15.740670569843655, '12955': 15.738502070920479, '11883': 15.717431335182269, '12344': 15.232169965377448, '11046': 14.628613778789779, '10104': 14.257554406441026, '10976': 13.231376459763965, '12975': 13.202081867936332, '11118': 13.17674548084425, '10490': 12.73096249423709, '10352': 12.356739676275806, '12320': 11.711710875798525, '12995': 11.376876120930518, '12820': 11.23310771936363, '10266': 10.745309165289678, '10866': 10.355664672431647}"
0,124934,482.27229880994463,2839987,334.62790149640625,"{'10062': 195.60098328052547, '11465': 147.41274285967864, '10034': 85.80394475366636, '10956': 80.45664589023735, '12085': 74.22117827354936, '10116': 73.69075600081729, '12941': 71.30689349202126, '12953': 71.2454987705348, '12501': 67.6334001080447, '11198': 65.07786607776578, '11094': 64.79894377624501, '12015': 63.220751466847524, '11549': 60.12151067341149, '12485': 58.866681269324864, '12411': 58.60791107567299, '10954': 56.84960009518626, '11745': 53.615173656102925, '10046': 48.681557417131216, '10430': 40.014373187758196, '12856': 34.14996223615542, '10932': 34.060045822902836, '10940': 31.01783512257534, '12810': 20.477188902910324, '10864': 19.969246932638796, '11765': 19.842849032621253, '11599': 19.53725523513023, '11172': 19.01136043171391, '12943': 18.894701826897688, '11170': 18.66944067777065, '10240': 17.318724637877224, '11058': 16.477324025564524, '10490': 16.268643363646817, '11421': 16.139157497051194, '11248': 15.820328390088768, '11353': 15.678697398008737, '11547': 15.228687018595117, '10872': 15.10193719968874, '11068': 14.90374334658939, '11377': 14.455809849939225, '10876': 14.275281692778329, '12955': 14.04480000180672, '12381': 13.987245616443342, '12286': 13.081288625801415, '12245': 12.88050010059736, '12572': 11.953344550699867, '10750': 11.50582844751334, '10986': 11.472216202742109, '10732': 10.611048527263918, '12921': 10.492448658363362, '10336': 10.431968345541314}"
0,675239,378.8508540639688,1846506,211.68244869884214,"{'10282': 107.85086781255666, '10034': 83.45273363716271, '12519': 76.54127488776399, '10834': 75.9374111362657, '10996': 69.7329561395427, '11533': 69.56576476550944, '10168': 58.609574545828124, '12079': 46.680912602358276, '11070': 35.948245769619916, '10344': 34.060565253758554, '10518': 27.468852285382816, '12449': 27.319003483844746, '12570': 27.287883126235858, '12231': 25.090802971099485, '11224': 19.63684762064525, '10230': 19.372731625058158, '12947': 19.147973012233663, '12959': 19.11247094069425, '10972': 19.096385162526786, '12975': 18.72862043974809, '10994': 18.620126880018653, '12491': 18.566833987313366, '10708': 17.682999991297685, '12977': 17.66138128591603, '12808': 17.527512690028846, '11373': 17.52077394569986, '10974': 16.991755870510815, '11475': 16.95108655858948, '12969': 16.837584760753295, '11184': 16.61132142928306, '12183': 16.39521524471643, '11006': 16.2312478366284, '10866': 16.047896881754767, '12387': 15.678915855637909, '11298': 15.231863397158818, '11845': 14.666922639996057, '12931': 14.661729340221354, '12913': 14.555683178990375, '10952': 13.794943893761289, '12550': 13.700031766004805, '11178': 13.5629766203709, '11230': 13.326400730291404, '11363': 12.578108636313019, '11631': 12.26326538170168, '12951': 11.527560103749725, '12533': 11.428890045836754, '11547': 11.362365089295507, '11791': 10.481293435562822, '12620': 10.413910593515153, '10246': 10.06186051052942, '12129': 10.03900586345239, '11158': 10.031900492387443}"
0,499642,341.57024886877826,1464101,165.6222850678733,"{'12840': 87.28117390222741, '10796': 82.3727801581272, '11533': 68.46041095935001, '11018': 66.77859050328114, '11321': 57.420421705392215, '10512': 55.55416114504071, '10434': 53.90594644488845, '11056': 47.243100916006384, '12993': 46.12726282696995, '10390': 40.08204012518371, '12527': 37.86920285802843, '10462': 37.20136395522581, '12475': 36.91131434276102, '12969': 19.958592135234838, '10898': 19.69150335179206, '11803': 19.214741775159858, '11298': 18.709290596838343, '12395': 17.83472151284133, '10482': 17.635593494324908, '12570': 17.205067350757403, '10458': 16.944623513543704, '10320': 16.935859454627263, '10942': 16.071888693375442, '10888': 15.909950877406132, '12582': 15.868724846409243, '11054': 15.394440016658718, '11158': 15.323315007444643, '12441': 15.172963711185895, '11024': 15.014057983468962, '12009': 14.87873937902183, '10836': 14.77779032663136, '12614': 14.703721184390231, '12550': 14.443610718636647, '11535': 13.91953570013726, '12604': 13.530850400008035, '10198': 13.420578758913488, '10864': 13.30127454862117, '12580': 13.148698347445897, '10598': 12.189862958168856, '12935': 12.139119861839553, '10936': 11.057110453230171, '12003': 10.324606453304222, '11353': 10.038521033729847}"
0,526235,437.53951650395163,2435429,283.05776383077637,"{'10540': 119.12379783029004, '11775': 95.43506223985524, '11222': 86.85418223613516, '10046': 84.63658054972583, '10938': 81.92746548871371, '10996': 79.17075245105286, '12427': 76.89761283072403, '11553': 75.40278639165982, '12463': 72.49228838931751, '11437': 69.37876327432323, '10318': 68.88195447167243, '10972': 62.24158721843924, '12475': 61.27116728409524, '11208': 60.25769372501996, '12937': 50.96641902392459, '10870': 50.51896219237156, '12889': 47.790816741252826, '12225': 37.089622597472285, '11533': 34.77214166113915, '12903': 29.838529281902808, '10834': 28.54615088970884, '12840': 26.87724922153953, '11323': 19.960014035264813, '12917': 19.819803101306597, '12451': 19.791450210395425, '11661': 19.703154049731175, '11202': 19.374385742117337, '11038': 19.215518329765352, '12913': 18.919668675320583, '12405': 18.4852475112459, '10306': 17.874686077632695, '10202': 16.974998107639124, '12177': 16.65604202832634, '12429': 16.118052900816018, '11877': 15.667587107200891, '11547': 15.543597050651226, '10228': 15.512802193771153, '11919': 15.480717406385411, '11298': 15.407307700474568, '11845': 15.284268972709022, '10942': 14.833414260019385, '10840': 14.557334751331783, '12804': 14.259263592327532, '10998': 14.178169697701449, '12387': 14.103489985474608, '12854': 14.072783732878865, '12614': 13.765512986659616, '12369': 13.539848014634742, '10878': 12.699881373567921, '11335': 12.594656398924156, '12598': 11.879496053829477, '10196': 11.840805376594698, '10458': 11.748069709956264, '10872': 11.331918915676777, '11495': 10.375440251058489, '10874': 10.007258594391514}"
