Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,2,589135,0,0,0,"N1_774, N104_23, N207_121, N1_1015, N2_356, N1_863, N1_1017, N1_92, N207_88, N2_248, N106_1, N1_823"
N1,2,568214,0,0,0,"N2_167, N2_54, N1_132, N2_355, N1_38, N1_817, N106_51, N106_65, N1_222, N106_36, N1_996"
N1,2,370405,0,0,0,"N2_170, N2_221, N1_917, N1_425, N1_873, N1_997, N2_356, N207_78, N1_132, N102_33, N106_1, N1_83, N1_823"
N1,2,770507,0,0,0,"N106_110, N1_862, N1_796, N1_999, N2_356, N1_931, N1_776, N102_12, N2_121, N1_222, N2_147, N106_36, N1_788"
N1,2,481071,0,0,0,"N104_77, N1_772, N1_986, N1_981"
N1,2,735585,0,0,0,"N104_26, N1_917, N102_22, N1_797, N106_116, N1_920, N102_72, N1_924, N106_51, N106_65, N2_218"
N1,2,636716,0,0,0,"N207_76, N1_132, N106_81, N204_56, N1_83, N106_36, N1_788, N2_167, N1_1047, N1_1081, N1_320, N1_1082, N104_53, N1_986, N106_40, N102_106, N104_38, N1_850, N106_110, N1_849, N1_1041, N1_935"
N1,2,726281,0,0,0,"N207_66, N106_13, N1_905, N1_885, N204_20, N106_90, N1_930, N2_218, N1_981, N1_788"
N1,2,585197,0,0,0,"N1_850, N106_64, N2_201, N2_356, N1_863, N2_169, N1_797, N106_81, N1_520, N1_994, N2_122, N2_218, N2_430, N1_95, N106_136, N1_222"
N1,2,820028,0,0,0,"N207_66, N106_3, N102_83, N102_22, N207_88, N1_1017, N207_61, N1_962, N204_38, N104_46, N104_53, N1_872, N1_841"
